name,total_energy,memory_system_cycles,bandwidth_utilization,peak_bandwidth,frontend_avg_bandwidth,total_read_energy,total_write_energy,total_refresh_energy,total_activation_energy,total_precharge_energy
WUPR_2Segments_Analysis,1305059169,268971073,0.744799972,95.3343964,91.5586014,1194059903,9221515.381,4575236.82,18317019.69,16996764.91
8ms_Without_WUPR_Analysis,1347950456,301956012,0.652199984,83.4815979,81.5569611,1194059903,9221515.381,43878012.64,19912585.37,18477325.84
WUPR_4Segments_Analysis,1303843261,266432877,0.744799972,95.3343964,92.4308395,1194059903,9221515.381,3888088.82,18289639.32,16971358.06
16ms_Without_WUPR_Analysis,1321755840,280096827,0.709599972,90.8287964,87.9217911,1194059903,9221515.381,20350773.52,18948867.53,17583070.6
32ms_With_WUPR_Analysis,1303075413,264829635,0.744799972,95.3343964,92.9904022,1194059903,9221515.381,3454122.98,18272258.17,16955229.71
WUPR_128Segments_Analysis,1303075413,264829635,0.744799972,95.3343964,92.9904022,1194059903,9221515.381,3454122.98,18272258.17,16955229.71
WUPR_8Segments_Analysis,1303331817,265365456,0.744799972,95.3343964,92.8026352,1194059903,9221515.381,3598353.22,18278221.49,16960763.2
WUPR_16Segments_Analysis,1303075413,264829635,0.744799972,95.3343964,92.9904022,1194059903,9221515.381,3454122.98,18272258.17,16955229.71
0ms_ideal_refresh_Without_WUPR_Analysis_512,2534685587,378356168,0.513000011,65.6640015,65.0884476,2406616703,18585789.21,3.864,11230513.21,8749116.506
0ms_ideal_refresh_Without_WUPR_Analysis_128,1462385321,249113218,0.780799985,99.9423981,98.8571167,1367365858,10559920.43,2.576,13686333.25,12211366.74
32ms_Without_WUPR_Analysis,1310052388,270333347,0.729399979,93.3631973,91.0972137,1194059903,9221515.381,9820690.88,18525990.05,17190673.17
WUPR_64Segments_Analysis,1303075413,264829635,0.744799972,95.3343964,92.9904022,1194059903,9221515.381,3454122.98,18272258.17,16955229.71
8ms_With_WUPR_Analysis,1314875397,275644229,0.744799972,95.3343964,89.3420258,1194059903,9221515.381,13798002.68,18694429.34,17346971.73
0ms_ideal_refresh_Without_WUPR_Analysis_256,1811038938,264123199,0.736999989,94.3359985,93.2391205,1713870025,13235913.31,257.6,11713608.81,9903198.474
WUPR_32Segments_Analysis,1303075413,264829635,0.744799972,95.3343964,92.9904022,1194059903,9221515.381,3454122.98,18272258.17,16955229.71
0ms_ideal_refresh_Without_WUPR_Analysis_64,1299144592,261231196,0.744799972,95.3343964,94.2713394,1194059903,9221515.381,2.576,18134852.06,16827727.51
0ms_ideal_refresh_Without_WUPR_Analysis_32,1235040063,288498649,0.677600026,86.7328033,85.3612823,1107389610,8552179.133,2.576,27283715.5,26060327.87
16ms_With_WUPR_Analysis,1307003219,268432238,0.744799972,95.3343964,91.7423859,1194059903,9221515.381,6902153.72,18410458.9,17083469.24
