key,nRFC,column,density,row,nRCD,nRAS,nRC,nCAS,nRP,nRRD,activation_power,precharge_power,read_power,write_power
tsv_1024_Page8192_Stack4_Size4_Bank1024_UCA1_Ndbl_64,110,16,1024,65536,8,30,52,15,23,2,1.11538,1.06282,3.16281,3.16283
tsv_1024_Page8192_Stack4_Size4_Bank1024_UCA1_Ndbl_2048,110,16,1024,65536,6,11,12,69,2,5,0.398795,0.265729,8.07836,8.07838
tsv_1024_Page8192_Stack4_Size4_Bank1024_UCA1_Ndbl_32,110,16,1024,65536,8,79,150,15,72,2,1.93689,1.88562,3.08351,3.08353
tsv_1024_Page8192_Stack4_Size4_Bank1024_UCA1_Ndbl_128,110,16,1024,65536,7,16,24,16,9,3,0.706576,0.651418,3.32142,3.32144
tsv_1024_Page8192_Stack4_Size4_Bank1024_UCA1_Ndbl_1024,110,16,1024,65536,6,10,12,35,2,4,0.382957,0.291441,5.54155,5.54157
tsv_1024_Page8192_Stack4_Size4_Bank1024_UCA1_Ndbl_256,110,16,1024,65536,7,12,15,18,5,3,0.506069,0.445717,3.63862,3.63864
tsv_1024_Page8192_Stack4_Size4_Bank1024_UCA1_Ndbl_512,110,16,1024,65536,7,10,12,23,3,3,0.413606,0.342866,4.27298,4.273
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,nRCD,nRAS,nRC,nCAS,nRP,nRRD,,,,activation energy,precharge energy,read/write energy,,
64,8,30,52,5,23,2,,,64,1.11538,1.06282,3.16281,,
128,7,16,24,6,9,3,,,128,0.706576,0.651418,3.32142,,
256,7,12,15,8,5,3,,,256,0.506069,0.445717,3.63862,,
512,7,10,12,13,3,3,,,512,0.413606,0.342866,4.27298,,
1024,6,10,12,23,2,4,,,1024,0.382957,0.291441,5.54155,,
