Number of Subarrays,nRCD,nRAS,nRC,nCAS,nRP,nRRD
8,13,159,306,13,148,3
16,12,54,97,13,44,3
32,11,26,40,14,16,3
64,11,17,23,15,7,3
128,10,15,18,17,4,3
256,10,14,16,23,3,4
512,10,14,16,37,3,5
,,,,,,
,,,,,,
,,,,,,
,nRCD,nRAS,nRC,nCAS,nRP,nRRD
3,13,159,306,13,148,3
,,,,,,
,nRCD,nRAS,nRC,nCAS,nRP,nRRD
6,11,17,23,15,7,3
,,,,,,
,nRCD,nRAS,nRC,nCAS,nRP,nRRD
0,10,14,16,37,3,5
,,,,,,
,nRCD,nRAS,nRC,nCAS,nRP,nRRD
2,11,26,40,14,16,3
,,,,,,
,nRCD,nRAS,nRC,nCAS,nRP,nRRD
4,10,14,16,23,3,4
,,,,,,
,nRCD,nRAS,nRC,nCAS,nRP,nRRD
5,10,15,18,17,4,3
,,,,,,
,nRCD,nRAS,nRC,nCAS,nRP,nRRD
1,12,54,97,13,44,3
