name,total_energy,memory_system_cycles,bandwidth_utilization,peak_bandwidth,frontend_avg_bandwidth,total_read_energy,total_write_energy,total_refresh_energy,total_activation_energy,total_precharge_energy
0ms_ideal_refresh_Without_WUPR_Analysis,1238405421,261231196,0.744799972,95.3343964,94.2713394,1133843982,8756436.046,2.576,18076682.48,16827727.51
8ms_With_WUPR_Analysis,1253457619,274229992,0.744799972,95.3343964,89.8027802,1133843982,8756436.046,14425036.5,18176795.39,16920923.45
8ms_Without_WUPR_Analysis,1284938089,298084535,0.660600007,84.5568008,82.6162033,1133843982,8756436.046,45284283.24,18509405.75,17230553.18
16ms_With_WUPR_Analysis,1246584763,268698680,0.744799972,95.3343964,91.651413,1133843982,8756436.046,7215887.98,18352431.52,17084424.58
16ms_Without_WUPR_Analysis,1262005969,280862855,0.707599998,90.5727997,87.6819916,1133843982,8756436.046,21334019.84,18892221.73,17586919.74
32ms_With_WUPR_Analysis,1242504805,264974394,0.744799972,95.3343964,92.9395981,1133843982,8756436.046,3611128.57,18217127.84,16958469.26
32ms_Without_WUPR_Analysis,1249799346,270716050,0.729200006,93.3376007,90.9684296,1133843982,8756436.046,10281601.68,18477157.98,17200533.47
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Sustainable Bandwidth,,,,,,,,,,
,< 85¢XC,85~95¢XC,>95¢XC,,,,,,,
Auto Refresh,90.9684296,87.6819916,82.6162033,,,,,,,
WUPR N=16,92.9395981,91.651413,89.8027802,,,,,,,
No Refresh,94.2713394,94.2713394,94.2713394,,,,,,,
,,,,,,,,,,
,< 85¢XC,85~95¢XC,>95¢XC,,,,,,,
Auto Refresh,1249799346,1262005969,1284938089,,,,,,,
WUPR N=16,1242504805,1246584763,1253457619,,,,,,,
No Refresh,1238405421,1238405421,1238405421,,,,,,,
Normalised Energy,,,,,,,,,,
,< 85¢XC,85~95¢XC,>95¢XC,,,,,,,
Auto Refresh,1.00920048,1.019057206,1.037574664,,,,,,,
WUPR N=16,1.003310211,1.006604737,1.012154499,,,,,,,
No Refresh,1,1,1,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1238405421,1238405421,1238405421,1238405421,,,,,,,
1238405421,1238405421,1238405421,1238405421,,,,,,,
1238405421,1238405421,1238405421,1238405421,,,,,,,
