Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
40, 1, 4, 1, 144, 15.241, 18.5693, N/A, 0.717817, 0.71786, 0.00365051, 5.62159, 16, 32, 1, 1, 1, 1, 46.9099, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 1, 4, 1, 144, 15.241, 18.5693, N/A, 0.717817, 0.71786, 0.00365051, 5.62159, 16, 32, 1, 1, 1, 1, 46.9099, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 4, 16, 1, 144, 16.5732, 19.3519, N/A, 0.901437, 0.90148, 0.00485657, 22.3079, 16, 32, 1, 1, 1, 1, 47.2845, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 1, 4, 1, 144, 15.241, 18.5693, N/A, 0.717817, 0.71786, 0.00365051, 5.62159, 16, 32, 1, 1, 1, 1, 46.9099, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 1, 4, 1, 144, 11.735, 18.5693, N/A, 0.717817, 0.71786, 0.00365051, 5.62159, 16, 32, 1, 1, 1, 1, 46.9099, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 2, 1, 1, 144, 19.963, 158.663, N/A, 1.48133, 1.48137, 0.0232148, 9.41444, 16, 32, 1, 1, 1, 1, 56.0998, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 2, 1, 1, 144, 19.963, 158.663, N/A, 1.48133, 1.48137, 0.0232148, 9.41444, 16, 32, 1, 1, 1, 1, 56.0998, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 2, 1, 1, 144, 19.963, 158.663, N/A, 1.48133, 1.48137, 0.0232148, 9.41444, 16, 32, 1, 1, 1, 1, 56.0998, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 1, 1, 1, 144, 14.6602, 57.4755, N/A, 1.06247, 1.06251, 0.0126654, 5.04358, 16, 32, 1, 1, 1, 1, 52.3472, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 1, 1, 1, 80, 14.7126, 57.4755, N/A, 0.858194, 0.858216, 0.0105303, 4.86211, 16, 32, 1, 1, 1, 1, 54.3086, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 1, 1, 1, 80, 14.7126, 57.4755, N/A, 0.858194, 0.858216, 0.0105303, 4.86211, 16, 32, 1, 1, 1, 1, 54.3086, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 1, 1, 1, 80, 14.7126, 57.4755, N/A, 0.858194, 0.858216, 0.0105303, 4.86211, 16, 32, 1, 1, 1, 1, 54.3086, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 1, 1, 1, 80, 14.7126, 57.4755, N/A, 0.858194, 0.858216, 0.0105303, 4.86211, 16, 32, 1, 1, 1, 1, 54.3086, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 1, 1, 1, 80, 14.6602, 57.4755, N/A, 1.06247, 1.06251, 0.0126654, 5.04358, 16, 32, 1, 1, 1, 1, 52.3472, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 1, 1, 1, 80, 14.7126, 57.4755, N/A, 0.858194, 0.858216, 0.0105303, 4.86211, 16, 32, 1, 1, 1, 1, 54.3086, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 1, 1, 1, 144, 14.6602, 57.4755, N/A, 1.06247, 1.06251, 0.0126654, 5.04358, 16, 32, 1, 1, 1, 1, 52.3472, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 1, 1, 1, 144, 14.6602, 57.4755, N/A, 1.06247, 1.06251, 0.0126654, 5.04358, 16, 32, 1, 1, 1, 1, 52.3472, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 1, 1, 1, 144, 34.4917, 531.548, N/A, 2.30375, 2.30379, 0.0433722, 18.1442, 16, 32, 1, 1, 1, 1, 58.2313, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 1, 1, 1, 144, 14.6602, 57.4755, N/A, 1.06247, 1.06251, 0.0126654, 5.04358, 16, 32, 1, 1, 1, 1, 52.3472, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 1, 1, 1, 144, 14.6602, 57.4755, N/A, 1.06247, 1.06251, 0.0126654, 5.04358, 16, 32, 1, 1, 1, 1, 52.3472, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 1, 1, 1, 144, 14.6602, 57.4755, N/A, 1.06247, 1.06251, 0.0126654, 5.04358, 16, 32, 1, 1, 1, 1, 52.3472, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
