Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
22, 4, 1, 1, 576, 19.7562, 18.4569, N/A, 0.489705, 0.489715, 9.54982, 11.6699, 128, 128, 0.5625, 1, 1, 1, 17.8102, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 16, 1, 1, 576, 67.8408, 37.4366, N/A, 0.628934, 0.628939, 47.6185, 56.6476, 256, 512, 0.5625, 1, 1, 1, 14.6781, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 16, 1, 1, 576, 67.8408, 37.4366, N/A, 0.628934, 0.628939, 47.6185, 56.6476, 256, 512, 0.5625, 1, 1, 1, 14.6781, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 16, 1, 1, 576, 67.8408, 37.4366, N/A, 0.628934, 0.628939, 47.6185, 56.6476, 256, 512, 0.5625, 1, 1, 1, 14.6781, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 19.7562, 18.4569, N/A, 0.489705, 0.489715, 9.54982, 11.6699, 128, 128, 0.5625, 1, 1, 1, 17.8102, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 19.7562, 18.4569, N/A, 0.489705, 0.489715, 9.54982, 11.6699, 128, 128, 0.5625, 1, 1, 1, 17.8102, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 16, 1, 1, 576, 67.8408, 37.4366, N/A, 0.628934, 0.628939, 47.6185, 56.6476, 256, 512, 0.5625, 1, 1, 1, 14.6781, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 16, 1, 1, 576, 67.8408, 37.4366, N/A, 0.628934, 0.628939, 47.6185, 56.6476, 256, 512, 0.5625, 1, 1, 1, 14.6781, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 19.7562, 18.4569, N/A, 0.489705, 0.489715, 9.54982, 11.6699, 128, 128, 0.5625, 1, 1, 1, 17.8102, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 12.6094, 16.3731, N/A, 0.888164, 0.888174, 30.8851, 11.8167, 128, 128, 0.5625, 1, 1, 1, 17.589, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 1, 1, 1, 576, 13.5496, 12.5124, N/A, 0.451535, 0.451545, 5.26358, 3.15767, 128, 64, 0.5625, 1, 1, 1, 16.4485, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 1, 1, 1, 576, 13.5496, 12.5124, N/A, 0.451535, 0.451545, 5.26358, 3.15767, 128, 64, 0.5625, 1, 1, 1, 16.4485, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 16, 1, 1, 576, 67.8408, 37.4366, N/A, 0.628934, 0.628939, 47.6185, 56.6476, 256, 512, 0.5625, 1, 1, 1, 14.6781, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 16, 1, 1, 576, 67.8408, 37.4366, N/A, 0.628934, 0.628939, 47.6185, 56.6476, 256, 512, 0.5625, 1, 1, 1, 14.6781, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
