Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
32, 4, 1, 1, 576, 21.539, 27.9438, N/A, 5.34955, 5.34959, 0.255667, 23.846, 128, 128, 0.5625, 1, 1, 1, 27.6501, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 4, 1, 1, 576, 21.539, 27.9438, N/A, 5.34955, 5.34959, 0.255667, 23.846, 128, 128, 0.5625, 1, 1, 1, 27.6501, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 4, 1, 1, 576, 25.437, 149.286, N/A, 6.51837, 6.51862, 0.0957416, 13.1217, 16, 32, 1, 1, 1, 1, 50.2255, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 4, 1, 1, 576, 21.539, 27.9438, N/A, 5.34955, 5.34959, 0.255667, 23.846, 128, 128, 0.5625, 1, 1, 1, 27.6501, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 4, 1, 1, 576, 21.539, 27.9438, N/A, 5.34955, 5.34959, 0.255667, 23.846, 128, 128, 0.5625, 1, 1, 1, 27.6501, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 4, 1, 1, 576, 21.539, 27.9438, N/A, 5.34955, 5.34959, 0.255667, 23.846, 128, 128, 0.5625, 1, 1, 1, 27.6501, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 4, 1, 1, 576, 21.539, 27.9438, N/A, 5.34955, 5.34959, 0.255667, 23.846, 128, 128, 0.5625, 1, 1, 1, 27.6501, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 4, 1, 1, 576, 21.539, 27.9438, N/A, 5.34955, 5.34959, 0.255667, 23.846, 128, 128, 0.5625, 1, 1, 1, 27.6501, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 4, 4, 1, 576, 15.5648, 26.8841, N/A, 3.04789, 3.04792, 0.0830229, 20.3199, 128, 32, 0.5625, 1, 1, 1, 32.3825, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 4, 1, 1, 576, 21.539, 27.9438, N/A, 5.34955, 5.34959, 0.255667, 23.846, 128, 128, 0.5625, 1, 1, 1, 27.6501, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 4, 1, 1, 576, 21.539, 27.9438, N/A, 5.34955, 5.34959, 0.255667, 23.846, 128, 128, 0.5625, 1, 1, 1, 27.6501, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 4, 1, 1, 576, 25.437, 149.286, N/A, 6.51837, 6.51862, 0.0957416, 13.1217, 16, 32, 1, 1, 1, 1, 50.2255, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 4, 1, 1, 576, 30.6966, 38.8326, N/A, 8.8336, 8.83385, 0.136585, 18.1834, 16, 128, 1, 1, 1, 1, 36.2545, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
