Total memory size (Gb)	Stacked die count	Page size	Chip IO width	Activation energy	Area efficiency	Precharge energy	Read energy	TSV area overhead	TSV energy overhead per access	TSV latency overhead	Write energy	t_CAS	t_RAS	t_RC	t_RCD	t_RP	t_RRD
"	2.0	 "	"	8	 "	"	8192	 "	"	128	 "	"	0.807659	 "	"	33.2099	 "	"	0.758267	 "	"	1.05205	 "	"	0.002352	 "	"	0.335851	 "	"	2.13873	 "	"	1.05206	 "	"	10	 "	"	12	 "	"	16	 "	"	7	 "	"	7	 "	"	3	 "
"	4.0	 "	"	4	 "	"	8192	 "	"	512	 "	"	0.869742	 "	"	27.9948	 "	"	0.703523	 "	"	5.45808	 "	"	0.007008	 "	"	0.281107	 "	"	0.722927	 "	"	5.45811	 "	"	23	 "	"	13	 "	"	18	 "	"	7	 "	"	6	 "	"	3	 "
"	1.0	 "	"	4	 "	"	32768	 "	"	64	 "	"	1.05408	 "	"	41.7042	 "	"	0.972878	 "	"	0.918165	 "	"	0.001584	 "	"	0.0502709	 "	"	0.722927	 "	"	0.918167	 "	"	6	 "	"	15	 "	"	18	 "	"	12	 "	"	4	 "	"	1	 "
"	4.0	 "	"	8	 "	"	8192	 "	"	128	 "	"	0.847244	 "	"	33.2998	 "	"	0.76034	 "	"	1.38781	 "	"	0.002368	 "	"	0.337924	 "	"	2.13873	 "	"	1.38782	 "	"	13	 "	"	12	 "	"	17	 "	"	7	 "	"	7	 "	"	3	 "
"	1.0	 "	"	8	 "	"	16384	 "	"	512	 "	"	1.63438	 "	"	28.6494	 "	"	1.59377	 "	"	2.00291	 "	"	0.006928	 "	"	1.12987	 "	"	2.13873	 "	"	2.00292	 "	"	8	 "	"	11	 "	"	14	 "	"	9	 "	"	5	 "	"	2	 "
"	4.0	 "	"	8	 "	"	16384	 "	"	512	 "	"	2.0444	 "	"	31.0508	 "	"	1.97885	 "	"	2.85275	 "	"	0.006976	 "	"	1.13402	 "	"	2.13873	 "	"	2.85276	 "	"	10	 "	"	14	 "	"	19	 "	"	9	 "	"	7	 "	"	3	 "
"	1.0	 "	"	8	 "	"	16384	 "	"	128	 "	"	0.838288	 "	"	32.5883	 "	"	0.797681	 "	"	0.855376	 "	"	0.00232	 "	"	0.333778	 "	"	2.13873	 "	"	0.85538	 "	"	8	 "	"	11	 "	"	14	 "	"	9	 "	"	5	 "	"	2	 "
"	2.0	 "	"	8	 "	"	16384	 "	"	512	 "	"	2.02463	 "	"	30.6912	 "	"	1.97677	 "	"	2.25958	 "	"	0.00696	 "	"	1.13194	 "	"	2.13873	 "	"	2.2596	 "	"	9	 "	"	14	 "	"	18	 "	"	9	 "	"	7	 "	"	3	 "
"	2.0	 "	"	4	 "	"	32768	 "	"	64	 "	"	1.05994	 "	"	41.7838	 "	"	0.973391	 "	"	1.13426	 "	"	0.0016	 "	"	0.0507839	 "	"	0.722927	 "	"	1.13427	 "	"	7	 "	"	15	 "	"	18	 "	"	12	 "	"	4	 "	"	1	 "
"	2.0	 "	"	4	 "	"	16384	 "	"	512	 "	"	1.19098	 "	"	31.0508	 "	"	1.12543	 "	"	1.99933	 "	"	0.006976	 "	"	0.280594	 "	"	0.722927	 "	"	1.99934	 "	"	8	 "	"	13	 "	"	18	 "	"	8	 "	"	6	 "	"	2	 "
