Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
22, 4, 1, 1, 576, 56.2401, 24.8414, N/A, 0.607035, 0.60704, 22.766, 22.8515, 256, 2048, 1, 1, 1, 1, 9.0961, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 56.2401, 24.8414, N/A, 0.607035, 0.60704, 22.766, 22.8515, 256, 2048, 1, 1, 1, 1, 9.0961, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 56.2401, 24.8414, N/A, 0.607035, 0.60704, 22.766, 22.8515, 256, 2048, 1, 1, 1, 1, 9.0961, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 56.2401, 24.8414, N/A, 0.607035, 0.60704, 22.766, 22.8515, 256, 2048, 1, 1, 1, 1, 9.0961, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 54.2489, 22.3748, N/A, 0.607035, 0.60704, 22.766, 22.8515, 256, 2048, 1, 1, 1, 1, 9.0961, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 54.2489, 22.3748, N/A, 0.607035, 0.60704, 22.766, 22.8515, 256, 2048, 1, 1, 1, 1, 9.0961, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 56.2401, 24.8414, N/A, 0.607035, 0.60704, 22.766, 22.8515, 256, 2048, 1, 1, 1, 1, 9.0961, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 56.2401, 24.8414, N/A, 0.607035, 0.60704, 22.766, 22.8515, 256, 2048, 1, 1, 1, 1, 9.0961, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 56.2401, 24.8414, N/A, 0.607035, 0.60704, 22.766, 22.8515, 256, 2048, 1, 1, 1, 1, 9.0961, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 56.2401, 24.8414, N/A, 0.607035, 0.60704, 22.766, 22.8515, 256, 2048, 1, 1, 1, 1, 9.0961, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 56.2401, 24.8414, N/A, 0.607035, 0.60704, 22.766, 22.8515, 256, 2048, 1, 1, 1, 1, 9.0961, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 56.2401, 24.8414, N/A, 0.607035, 0.60704, 22.766, 22.8515, 256, 2048, 1, 1, 1, 1, 9.0961, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 56.2401, 24.8414, N/A, 0.607035, 0.60704, 22.766, 22.8515, 256, 2048, 1, 1, 1, 1, 9.0961, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 56.2401, 24.8414, N/A, 0.607035, 0.60704, 22.766, 22.8515, 256, 2048, 1, 1, 1, 1, 9.0961, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 56.2401, 24.8414, N/A, 0.607035, 0.60704, 22.766, 22.8515, 256, 2048, 1, 1, 1, 1, 9.0961, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 56.2401, 24.8414, N/A, 0.607035, 0.60704, 22.766, 22.8515, 256, 2048, 1, 1, 1, 1, 9.0961, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 56.2401, 24.8414, N/A, 0.607035, 0.60704, 22.766, 22.8515, 256, 2048, 1, 1, 1, 1, 9.0961, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 56.2401, 24.8414, N/A, 0.607035, 0.60704, 22.766, 22.8515, 256, 2048, 1, 1, 1, 1, 9.0961, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 56.2401, 24.8414, N/A, 0.607035, 0.60704, 22.766, 22.8515, 256, 2048, 1, 1, 1, 1, 9.0961, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
