name,total_energy,memory_system_cycles,bandwidth_utilization,peak_bandwidth,frontend_avg_bandwidth,total_read_energy,total_write_energy,total_refresh_energy,total_activation_energy,total_precharge_energy
tsv_1024_Page16384_Stack4_Size1_Bank256_UCA1,1239996697,260388681,0.755200028,96.6656036,94.5763626,1133843982,8756436.046,1884144.36,18212527.62,16954186.88
tsv_1024_Page16384_Stack4_Size1_Bank256_UCA1_AR,1243952066,263643456,0.744400024,95.2832031,93.408783,1133843982,8756436.046,5224128,18455837.97,17180686.5
tsv_1024_Page16384_Stack4_Size2_Bank512_UCA1,1240645787,260954171,0.755200028,96.6656036,94.3714142,1133843982,8756436.046,2512192.48,18213753.75,16955328.3
tsv_1024_Page16384_Stack4_Size2_Bank512_UCA1_ar,1245738252,265031089,0.742399991,95.0271988,92.9197159,1133843982,8756436.046,7002186.24,18459231.46,17183845.52
tsv_1024_Page16384_Stack4_Size4_Bank1024_UCA1,1242335802,264829635,0.744799972,95.3343964,92.9904022,1133843982,8756436.046,3454122.98,18213647.85,16955229.71
tsv_1024_Page16384_Stack4_Size4_Bank1024_UCA1_ar,1249311963,270333347,0.729399979,93.3631973,91.0972137,1133843982,8756436.046,9820690.88,18466565.85,17190673.17
tsv_1024_Page16384_Stack4_Size8_Bank2048_UCA1,1243941430,266199213,0.744799972,95.3343964,92.5119705,1133843982,8756436.046,5023972.8,18213661.27,16955242.2
tsv_1024_Page16384_Stack4_Size8_Bank2048_UCA1_ar,1253975749,273948088,0.721599996,92.3647995,89.8951797,1133843982,8756436.046,14475677.44,18470888.62,17194697.27
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,Average Bandwidth,,,Energy Consumption,,,Energy Consumption,,
,256Mb AR,93.408783,,256Mb AR,1243952066,,256Mb AR,1243.952066,,
,256Mb WUPR ,94.5763626,,256Mb WUPR ,1239996697,,256Mb WUPR ,1239.996697,,
,512Mb AR,92.9197159,,512Mb AR,1245738252,,512Mb AR,1245.738252,,
,512Mb WUPR ,94.3714142,,512Mb WUPR ,1240645787,,512Mb WUPR ,1240.645787,,
,1024Mb AR,91.0972137,,1024Mb AR,1249311963,,1024Mb AR,1249.311963,,
,1024Mb WUPR,92.9904022,,1024Mb WUPR,1242335802,,1024Mb WUPR,1242.335802,,
,2048Mb AR,89.8951797,,2048Mb AR,1253975749,,2048Mb AR,1253.975749,,
,2048Mb WUPR,92.5119705,,2048Mb WUPR,1243941430,,2048Mb WUPR,1243.94143,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,, ,,
