name,total_energy,memory_system_cycles,bandwidth_utilization,peak_bandwidth,frontend_avg_bandwidth,total_read_energy,total_write_energy,total_refresh_energy,total_activation_energy,total_precharge_energy
tsv_1024_Page8192_Stack4_Size4_Bank1024_UCA1_Ndbl_32AR,763787160.8008801,490796242,0.421200007,53.9136009,50.176857,593253229.27579,4581604.4634300005,17829719.6,24426727.973459996,23780138.362200003
tsv_1024_Page8192_Stack4_Size4_Bank1024_UCA1_Ndbl_512AR,902568559.2550199,244350156,0.804400027,102.963203,100.784111,822101820.2084199,6348947.317,8876677.04,5068208.805472,4201379.847128
tsv_1024_Page8192_Stack4_Size4_Bank1024_UCA1_Ndbl_64,710936937.56898,304710082,0.649999976,83.1999969,80.8198242,608510186.79549,4699424.536069999,3452989.54,13621568.211580003,12979675.433340002
tsv_1024_Page8192_Stack4_Size4_Bank1024_UCA1_Ndbl_256AR,783502508.248484,251093564,0.782800019,100.198402,98.0774384,700053855.86798,5406396.83256,9121641.76,6254932.881098,5508989.913845999
tsv_1024_Page8192_Stack4_Size4_Bank1024_UCA1_Ndbl_64AR,719656743.8910799,312587426,0.63499999,81.2799988,78.7831268,608510186.79549,4699424.536069999,11355652.0,13861528.834020002,13208328.4025
tsv_1024_Page8192_Stack4_Size4_Bank1024_UCA1_Ndbl_32,749533423.60024,472177642,0.425799996,54.5023994,52.1554031,593253229.27579,4581604.4634300005,6820687.72,23837402.0745,23206412.078520004
tsv_1024_Page8192_Stack4_Size4_Bank1024_UCA1_Ndbl_128,723255816.763548,258638556,0.763999999,97.7919998,95.2163315,639026025.7891799,4935091.87376,3454300.0799999996,8619605.41312,7946723.746488001
tsv_1024_Page8192_Stack4_Size4_Bank1024_UCA1_Ndbl_1024,1140760106.3746023,234154152,0.843999982,108.031998,105.172661,1066168889.57495,8233825.41153,3396175.86,4669473.973099001,3553599.275523
tsv_1024_Page8192_Stack4_Size4_Bank1024_UCA1_Ndbl_256,777586396.5180941,246428243,0.801599979,102.604797,99.9342194,700053855.86798,5406396.83256,3396317.54,6178331.746913,5441523.960140999
tsv_1024_Page8192_Stack4_Size4_Bank1024_UCA1_Ndbl_1024AR,1140760106.3746023,234154152,0.843999982,108.031998,105.172661,1066168889.57495,8233825.41153,3396175.86,4669473.973099001,3553599.275523
tsv_1024_Page8192_Stack4_Size4_Bank1024_UCA1_Ndbl_128AR,729660673.439564,263783813,0.745999992,95.487999,93.3590851,639026025.7891799,4935091.87376,9582668.48,8722881.387583999,8041937.607040001
tsv_1024_Page8192_Stack4_Size4_Bank1024_UCA1_Ndbl_512,897039881.265448,240164254,0.820800006,105.062401,102.54071,822101820.2084199,6348947.317,3396317.54,5033599.909816,4172690.191712
