name,total_energy,memory_system_cycles,bandwidth_utilization,peak_bandwidth,frontend_avg_bandwidth,total_read_energy,total_write_energy,total_refresh_energy,total_activation_energy,total_precharge_energy
tsv_1024_Page32768_Stack4_Size2_Bank512_UCA1,1243375608.0696402,270108993,0.729600012,93.3888016,91.1728821,1133843981.7257,8756436.045699999,2511883.3600000003,18214748.675720003,16956254.47902
tsv_1024_Page8192_Stack4_Size1_Bank256_UCA1,1237782632.98764,251200488,0.780799985,99.9423981,98.0356979,1133843981.7257,8756436.045699999,1852536.84,18211839.977720004,16953546.748019997
tsv_1024_Page16384_Stack4_Size2_Bank512_UCA1,1240645787.4059,260954171,0.755200028,96.6656036,94.3714142,1133843981.7257,8756436.045699999,2512192.48,18213753.751840003,16955328.296159998
tsv_1024_Page8192_Stack4_Size2_Bank512_UCA1,1238412416.3734,251739054,0.780799985,99.9423981,97.8259583,1133843981.7257,8756436.045699999,2470049.12,18210807.762840003,16952585.850659996
tsv_1024_Page8192_Stack4_Size8_Bank2048_UCA1,1242487436.9479,260096262,0.763999999,97.7919998,94.6826935,1133843981.7257,8756436.045699999,5024384.96,18212560.43984,16954217.432159998
tsv_1024_Page32768_Stack4_Size4_Bank1024_UCA1,1246505277.8341,283151658,0.697600007,89.2928009,86.9732361,1133843981.7257,8756436.045699999,3453414.58,18209517.494240005,16951384.72896
tsv_1024_Page16384_Stack4_Size4_Bank1024_UCA1_ar,1249311962.8203201,270333347,0.729399979,93.3631973,91.0972137,1133843981.7257,8756436.045699999,9820690.88,18466565.84888,17190673.16604
tsv_1024_Page16384_Stack4_Size8_Bank2048_UCA1,1243941430.4222603,266199213,0.744799972,95.3343964,92.5119705,1133843981.7257,8756436.045699999,5023972.800000001,18213661.27016,16955242.2042
tsv_1024_Page16384_Stack4_Size2_Bank512_UCA1_ar,1245738251.5345802,265031089,0.742399991,95.0271988,92.9197159,1133843981.7257,8756436.045699999,7002186.24,18459231.455000002,17183845.518179998
tsv_1024_Page8192_Stack4_Size4_Bank1024_UCA1,1240080298.426,255595808,0.772000015,98.8160019,96.3498383,1133843981.7257,8756436.045699999,3396459.2199999997,18207943.81404,16949919.777060002
tsv_1024_Page16384_Stack4_Size1_Bank256_UCA1,1239996697.12506,260388681,0.755200028,96.6656036,94.5763626,1133843981.7257,8756436.045699999,1884144.3599999999,18212527.62376,16954186.8834
tsv_1024_Page16384_Stack4_Size8_Bank2048_UCA1_ar,1253975748.8768802,273948088,0.721599996,92.3647995,89.8951797,1133843981.7257,8756436.045699999,14475677.44,18470888.621600002,17194697.27088
tsv_1024_Page16384_Stack4_Size4_Bank1024_UCA1,1242335801.77428,264829635,0.744799972,95.3343964,92.9904022,1133843981.7257,8756436.045699999,3454122.98,18213647.8454,16955229.706979997
tsv_1024_Page32768_Stack4_Size8_Bank2048_UCA1,1247931494.03234,284200739,0.697600007,89.2928009,86.6521835,1133843981.7257,8756436.045699999,5023148.48,18153718.22512,16899440.728319995
tsv_1024_Page16384_Stack4_Size1_Bank256_UCA1_AR,1243952066.02208,263643456,0.744400024,95.2832031,93.408783,1133843981.7257,8756436.045699999,5224128.0,18455837.974,17180686.498679996
tsv_1024_Page32768_Stack4_Size1_Bank256_UCA1,1241448063.59238,263448196,0.744799972,95.3343964,93.4780121,1133843981.7257,8756436.045699999,1884067.08,18207614.1616,16949612.900879998
